,Average
1 Bedroom 2010,96727.87148472936
2 Bedroom 2010,82519.58018651583
3 Bedroom 2010,114206.54146278651
4 Bedroom 2010,165190.41339361403
5 Bedroom 2010,229898.9464255535
1 Bedroom 2020,131973.79307432432
2 Bedroom 2020,114749.74158653847
3 Bedroom 2020,162898.585
4 Bedroom 2020,226149.21137083994
5 Bedroom 2020,308726.518715342
