  Parcel Number ,  Bedrooms ,  Appraised Value ,  Sales Price ,  Sales Date ,  Baths (Full) ,  Year Built (Res) 
12 307208760201,3,297400,349900,27-Jul-20,2,1977
12 184203980286,3,493900,487000,27-Jul-20,3,1985
14 007400030488,3,206200,0,25-Jul-20,2,2002
14 007400030488,3,206200,0,25-Jul-20,2,2002
09F130000582734,3,51400,160400,24-Jul-20,2,2019
22 466412720093,3,468700,468700,24-Jul-20,2,1990
17 025300070035,3,125100,305000,24-Jul-20,1,1945
17 025200100445,3,369000,532500,24-Jul-20,2,2015
17 025200100445,3,369000,0,24-Jul-20,2,2015
17 0229 LL4200,3,352700,466000,24-Jul-20,2,2012
17 0227 LL2057,3,304000,340000,24-Jul-20,2,2017
17 0221 LL5676,3,478600,607000,24-Jul-20,2,2019
17 015800010037,3,862800,930000,24-Jul-20,3,1960
17 010400060151,3,502200,0,24-Jul-20,2,1954
17 007100010205,3,440100,378691,24-Jul-20,1,1949
17 000900010616,3,713800,720000,24-Jul-20,3,1950
14F002500030581,3,40500,0,24-Jul-20,1,1973
14 023400020684,3,244100,1,24-Jul-20,2,2006
14 016400121254,3,320600,265300,24-Jul-20,2,1985
14 014700050067,3,96800,0,24-Jul-20,1,1960
14 014700050067,3,96800,218000,24-Jul-20,1,1960
14 013300030115,3,161500,215000,24-Jul-20,1,1920
14 012400130064,3,133800,173000,24-Jul-20,1,1955
14 011600010563,3,214900,325000,24-Jul-20,3,1948
14 009400050342,3,111600,208000,24-Jul-20,2,1961
14 007400030488,3,206200,189000,24-Jul-20,2,2002
14 006000010882,3,86400,28750,24-Jul-20,1,1957
14 006000010882,3,86400,86250,24-Jul-20,1,1957
14 004700061123,3,607500,604500,24-Jul-20,3,2018
14 004700061123,3,607500,604500,24-Jul-20,3,2018
14 001200080603,3,192000,551000,24-Jul-20,1,1940
13 0096 LL4274,3,165000,185000,24-Jul-20,2,2019
12 291007880859,3,374500,462500,24-Jul-20,2,2008
12 242205810776,3,217200,315000,24-Jul-20,2,1972
12 179303710518,3,321200,0,24-Jul-20,2,1965
11 038201330336,3,248300,290000,24-Jul-20,2,1987
11 038201330211,3,254200,258000,24-Jul-20,2,1987
09F180400680059,3,77600,144000,24-Jul-20,1,1900
09F070000262673,3,140800,160000,23-Jul-20,2,2005
22 526009703685,3,308900,300000,23-Jul-20,2,2008
22 498612660316,3,344100,390000,23-Jul-20,3,1990
22 498612660316,3,344100,0,23-Jul-20,3,1990
22 482112510155,3,230000,385000,23-Jul-20,2,1964
22 482112510155,3,230000,0,23-Jul-20,2,1964
22 482112510155,3,230000,365000,23-Jul-20,2,1964
22 334212280181,3,434400,475000,23-Jul-20,2,1975
17 019700011038,3,618000,676000,23-Jul-20,2,1930
17 0157 LL0386,3,551200,500000,23-Jul-20,2,1959
17 015600040325,3,895000,1405000,23-Jul-20,4,1954
17 014600040294,3,756600,705000,23-Jul-20,2,1939
17 0116 LL0261,3,865300,0,23-Jul-20,2,1940
17 006900030231,3,402900,520000,23-Jul-20,2,1955
14F0046 LL0267,3,286900,455000,23-Jul-20,3,1925
14F0046 LL0127,3,130000,0,23-Jul-20,2,1940
14 0245 LL0536,3,139100,1,23-Jul-20,2,2005
14 021100040192,3,216200,245000,23-Jul-20,1,1940
14 017500120238,3,106200,197000,23-Jul-20,1,1950
14 016900030245,3,118600,137000,23-Jul-20,1,1945
14 016900030245,3,118600,125000,23-Jul-20,1,1945
14 015600010424,3,162000,131100,23-Jul-20,2,2006
14 015200020427,3,161600,172000,23-Jul-20,2,1950
14 013200160145,3,121200,254500,23-Jul-20,1,1965
14 010500070503,3,209160,299000,23-Jul-20,2,1925
14 009300030766,3,55000,40000,23-Jul-20,1,1960
14 006700010349,3,70800,75000,23-Jul-20,1,1956
12 228305630230,3,173500,0,23-Jul-20,3,1983
12 200304520290,3,292600,409000,23-Jul-20,2,1969
12 200204510631,3,224000,0,23-Jul-20,2,1968
12 200204510631,3,224000,220000,23-Jul-20,2,1968
12 200204510631,3,224000,200000,23-Jul-20,2,1968
12 169203030109,3,293500,0,23-Jul-20,2,1970
12 169203030109,3,293500,420000,23-Jul-20,2,1970
11 048501870196,3,236900,267500,23-Jul-20,3,1994
09F130000412973,3,51200,163400,23-Jul-20,2,2019
09F220900870592,3,53900,65000,22-Jul-20,1,1955
22 512011212790,3,216400,0,22-Jul-20,2,2001
22 512011212790,3,216400,258500,22-Jul-20,2,2001
17 0256 LL2176,3,321200,379000,22-Jul-20,3,2015
17 0229 LL2782,3,549600,545000,22-Jul-20,3,2006
17 0211 LL1610,3,476100,500000,22-Jul-20,4,2008
17 012600020332,3,415100,517500,22-Jul-20,2,1959
17 008500010274,3,343500,315000,22-Jul-20,2,1966
17 006500090494,3,531500,1,22-Jul-20,2,1960
17 005100080293,3,972100,1184000,22-Jul-20,3,1940
14 024000040395,3,90700,138000,22-Jul-20,1,1960
14 022300050346,3,163100,130000,22-Jul-20,3,1960
14 019500020137,3,66500,130600,22-Jul-20,2,1948
14 013000050223,3,297800,254400,22-Jul-20,2,2006
14 010500100185,3,107300,359000,22-Jul-20,1,1920
14 008700061116,3,72700,106000,22-Jul-20,1,1930
14 004800030267,3,641400,715000,22-Jul-20,2,1920
14 003500050070,3,73500,65000,22-Jul-20,1,1972
14 003400020629,3,56000,83000,22-Jul-20,1,1960
14 001600060478,3,673800,720000,22-Jul-20,2,1930
13 016100030195,3,96100,0,22-Jul-20,2,1986
12 191404150221,3,229600,725000,22-Jul-20,3,2018
12 165103170102,3,283100,2000,22-Jul-20,2,1950
12 137300450066,3,273200,565000,22-Jul-20,2,1985
11 054002311417,3,313700,287500,22-Jul-20,3,2004
09F090400511313,3,163800,0,21-Jul-20,2,2001
17 025700030886,3,95500,130000,21-Jul-20,1,1960
17 025200060524,3,420400,564500,21-Jul-20,2,2017
17 025200050608,3,216800,321360,21-Jul-20,3,2019
17 0229 LL4176,3,386100,475000,21-Jul-20,4,2012
17 0211 LL1990,3,538700,515000,21-Jul-20,3,2014
17 004700040237,3,608700,674900,21-Jul-20,2,1954
14F010500020197,3,139300,0,21-Jul-20,2,1980
14F009000020160,3,204200,0,21-Jul-20,2,1995
14 014000031478,3,257300,325000,21-Jul-20,3,1920
14 013900030663,3,201400,320000,21-Jul-20,2,1929
14 011900060268,3,102400,450000,21-Jul-20,1,1920
14 011500070386,3,159300,330000,21-Jul-20,3,1925
14 002000070083,3,315300,506000,21-Jul-20,2,1920
13 012700010232,3,121300,125000,21-Jul-20,2,1975
13 0002 LL1547,3,119500,176900,21-Jul-20,2,2019
12 275007600284,3,541800,442688,21-Jul-20,3,1985
11 083002861394,3,234300,282000,21-Jul-20,2,2005
09F350001512171,3,148500,0,21-Jul-20,2,2005
09F350001502461,3,153100,0,21-Jul-20,2,2005
09F180800730058,3,78000,79000,21-Jul-20,2,1971
09F310201441613,3,188300,210000,20-Jul-20,2,2004
17 010600100948,3,680400,950000,20-Jul-20,3,2001
17 009400051871,3,555400,710000,20-Jul-20,3,2018
17 009400051871,3,555400,0,20-Jul-20,3,2018
17 0091 LL2258,3,420100,469900,20-Jul-20,3,2005
17 0074 LL2317,3,215900,227000,20-Jul-20,2,1968
17 0073 LL2375,3,191300,213500,20-Jul-20,2,1971
17 006500080115,3,576100,615000,20-Jul-20,2,1955
17 006200070093,3,625900,888500,20-Jul-20,3,1986
14F0108 LL1526,3,226000,0,20-Jul-20,2,2015
14 023000060676,3,142800,178000,20-Jul-20,1,1960
14 019900030637,3,86200,99650,20-Jul-20,1,1956
14 019900030363,3,156600,185000,20-Jul-20,2,1956
14 019400050085,3,110000,1,20-Jul-20,2,1964
14 018900070726,3,156000,193000,20-Jul-20,2,1956
14 013800040242,3,135200,245000,20-Jul-20,1,1950
14 012100090204,3,140500,199900,20-Jul-20,1,1930
14 009800050173,3,238100,0,20-Jul-20,1,1940
14 008700050085,3,140100,158000,20-Jul-20,2,2004
14 005500040647,3,409200,405000,20-Jul-20,2,2005
14 005500040647,3,409200,0,20-Jul-20,2,2005
14 002000020542,3,574100,575000,20-Jul-20,2,2013
12 306808740282,3,280200,355000,20-Jul-20,2,1990
12 291007880628,3,403300,0,20-Jul-20,3,2005
12 199104280552,3,296500,0,20-Jul-20,1,1965
12 177203660312,3,345600,389000,20-Jul-20,2,1977
12 185003960485,4,436500,0,19-Aug-20,2,1970
12 194404390094,4,436400,525000,5-Aug-20,2,1981
12 207004701153,4,485000,475000,4-Aug-20,2,1997
12 135601130916,4,432600,475000,3-Aug-20,3,1992
17 0006 LL4282,4,540800,0,3-Aug-20,3,2013
14F0101 LL1473,4,273400,250000,3-Aug-20,3,2005
14 014800020507,4,42300,400000,3-Aug-20,3,1948
14 014700070107,4,121700,290000,3-Aug-20,2,1959
12 220305010703,4,342400,348000,3-Aug-20,2,1995
12 183103780184,4,264800,275000,3-Aug-20,2,1961
12 140201110086,4,371900,459000,31-Jul-20,2,1985
14 019600010293,4,151200,62500,31-Jul-20,2,1950
14 013000140065,4,267600,196000,31-Jul-20,2,1949
12 236005930685,4,401600,413400,31-Jul-20,3,2016
12 198404290154,4,439000,410000,31-Jul-20,2,1985
12 198404290154,4,439000,0,31-Jul-20,2,1985
12 195304360277,4,361900,440000,31-Jul-20,3,1976
12 190103871285,4,572500,720000,31-Jul-20,3,2015
12 169403250499,4,385000,0,31-Jul-20,2,1988
12 156103060310,4,328200,0,31-Jul-20,2,1981
12 156103060310,4,328200,330000,31-Jul-20,2,1981
12 153202500437,4,448800,0,31-Jul-20,4,1986
12 140101180163,4,310100,577000,30-Jul-20,2,1970
14F0036 LL0525,4,263300,285000,30-Jul-20,3,2004
14 020800100793,4,36000,70000,30-Jul-20,1,1950
14 015900030205,4,481300,640000,30-Jul-20,3,2018
14 013700060027,4,81000,0,30-Jul-20,2,1937
13 0162 LL1485,4,178200,198000,30-Jul-20,2,2006
12 198104480139,4,315200,343000,30-Jul-20,2,1965
12 158102620276,4,542700,605000,30-Jul-20,3,1994
12 158102620276,4,542700,0,30-Jul-20,3,1994
09F400001625067,4,295100,1,29-Jul-20,4,2006
22 539007573760,4,286300,334900,29-Jul-20,3,2013
21 570111660203,4,453500,476000,29-Jul-20,2,1992
14 024000050220,4,112200,220000,29-Jul-20,1,1959
14 018400120419,4,153000,104000,29-Jul-20,2,1940
13 0062 LL1346,4,111400,1,29-Jul-20,2,2003
12 159002400884,4,565700,810000,29-Jul-20,3,2001
12 228105620068,4,183600,265000,28-Jul-20,2,1979
22 540008290644,4,531900,0,28-Jul-20,4,1997
17 010900020028,4,1050200,1572000,28-Jul-20,3,1925
17 007900010124,4,500000,590000,28-Jul-20,4,1979
17 005100100182,4,679000,1025000,28-Jul-20,4,1990
17 000100110240,4,746600,865000,28-Jul-20,2,1920
14F0073 LL0958,4,216200,245000,28-Jul-20,3,2008
14 012400120412,4,296200,410000,28-Jul-20,2,1940
12 266007122130,4,383500,452000,28-Jul-20,3,2017
11 021400250257,4,748700,950000,27-Jul-20,4,1993
22 527010422471,4,249500,143000,27-Jul-20,2,2008
22 511010492098,4,573100,605000,27-Jul-20,3,2018
21 575111620651,4,434800,480000,27-Jul-20,3,1994
17 013100040192,4,465400,475000,27-Jul-20,3,1965
17 009500040048,4,565500,0,27-Jul-20,3,1945
17 007100070480,4,586700,0,27-Jul-20,3,1999
17 007100070480,4,586700,650000,27-Jul-20,3,1999
17 003600010423,4,609800,841000,27-Jul-20,3,1964
14F0108 LL2045,4,237900,0,27-Jul-20,3,2009
14 021300020291,4,206100,1,27-Jul-20,3,1969
14 017400100157,4,232100,0,27-Jul-20,3,2003
14 016300120638,4,138700,184000,27-Jul-20,2,1955
14 011400050306,4,105800,0,27-Jul-20,2,1968
13 0156 LL2713,4,191000,205000,27-Jul-20,3,2008
12 215005170336,4,366200,0,27-Jul-20,2,1968
12 215005170336,4,366200,0,27-Jul-20,2,1968
11 027201161999,4,325800,425000,27-Jul-20,2,1991
11 035101270703,4,423000,549900,24-Jul-20,3,1996
22 511010501799,4,540000,650000,24-Jul-20,3,2014
22 497011810233,4,323400,0,24-Jul-20,2,1997
22 485003170401,4,395700,309000,24-Jul-20,3,1998
22 406003791020,4,761100,1770000,24-Jul-20,4,2018
22 399110650512,4,566100,576000,24-Jul-20,3,1992
22 353008530351,4,568900,632500,24-Jul-20,4,2001
21 562211700013,4,898900,0,24-Jul-20,3,1998
17 015600020475,4,673300,800000,24-Jul-20,3,1950
17 009000011812,4,612800,0,24-Jul-20,3,2018
17 009000011812,4,612800,0,24-Jul-20,3,2018
17 005300080309,4,619600,0,24-Jul-20,2,1923
17 002000020164,4,429200,645000,24-Jul-20,3,1992
17 000500060128,4,462200,436000,24-Jul-20,2,1948
14F0158 LL3539,4,213700,210000,24-Jul-20,2,2005
14 024200031046,4,106900,129221,24-Jul-20,2,1969
14 011800070144,4,213400,229500,24-Jul-20,2,1920
14 005700010192,4,78000,88000,24-Jul-20,2,1930
14 001200070570,4,540200,731500,24-Jul-20,3,2015
12 201104240535,4,540800,499900,24-Jul-20,4,2019
12 174303590549,4,416400,440000,24-Jul-20,2,1988
12 174303590549,4,416400,0,24-Jul-20,2,1988
12 135600401276,4,560000,552000,24-Jul-20,3,1989
11 121104510343,4,422900,486000,24-Jul-20,4,1991
11 100003591059,4,302200,339000,24-Jul-20,3,2008
11 057502401646,4,324700,357500,24-Jul-20,2,1994
11 004100542165,4,464300,475000,23-Jul-20,2,1989
22 539007583124,4,438600,529000,23-Jul-20,3,2006
22 479010350767,4,705600,764500,23-Jul-20,3,2000
22 332011490621,4,892200,1000000,23-Jul-20,4,2001
22 331110100503,4,646500,550000,23-Jul-20,4,1999
21 559112380168,4,605900,0,23-Jul-20,3,1986
17 025300050052,4,389400,382000,23-Jul-20,2,2003
17 023000031399,4,382500,0,23-Jul-20,2,2000
17 0227 LL0978,4,325800,442000,23-Jul-20,2,2015
17 0213 LL0073,4,2680200,1740000,23-Jul-20,5,1990
17 015700030366,4,783600,980000,23-Jul-20,3,1956
17 014300050023,4,1300000,1180000,23-Jul-20,4,1994
17 013700030783,4,1154400,1640000,23-Jul-20,4,1995
17 008700060186,4,388500,532600,23-Jul-20,3,1967
14F0157 LL4454,4,289100,270000,23-Jul-20,3,2003
14F014300030315,4,102200,1,23-Jul-20,2,1967
14 016700030171,4,195300,0,23-Jul-20,2,1958
14 009400070712,4,183000,286500,23-Jul-20,3,1960
12 220205000101,4,286800,336000,23-Jul-20,2,1971
12 186003940741,4,335000,385500,23-Jul-20,2,1995
12 179103710692,4,263000,1068000,23-Jul-20,2,1960
12 176003541177,4,466600,510000,23-Jul-20,3,2004
11 008300150596,4,290000,327000,23-Jul-20,2,1993
11 065202691788,4,382400,428000,22-Jul-20,3,1993
21 578012610441,4,720000,630000,22-Jul-20,5,1995
17 016800030132,4,497500,585000,22-Jul-20,2,1965
17 014900041190,4,500000,10,22-Jul-20,3,2004
17 014900041190,4,500000,10,22-Jul-20,3,2004
17 012400010087,4,721300,1220000,22-Jul-20,2,2019
17 004800021558,4,660000,564900,22-Jul-20,3,2017
14F0002 LL4089,4,302400,334000,22-Jul-20,4,2007
14 024200031038,4,163500,202227,22-Jul-20,3,1969
14 007300040058,4,238100,275000,22-Jul-20,2,2000
14 002100070249,4,549700,0,22-Jul-20,2,1920
14 001300111100,4,552800,545000,22-Jul-20,4,2019
12 296107780248,4,396300,10,22-Jul-20,3,1980
12 296107780248,4,396300,10,22-Jul-20,3,1980
12 288107930279,4,286800,298000,22-Jul-20,2,1983
11 092003420985,4,443100,483000,22-Jul-20,4,2005
09F200200910900,4,210500,0,21-Jul-20,3,2019
22 482212522126,4,897500,795000,21-Jul-20,4,2018
22 339011570724,4,409700,450000,21-Jul-20,3,2000
22 339011570724,4,409700,0,21-Jul-20,3,2000
17 0218 LL0169,4,1084900,1400000,21-Jul-20,5,1951
17 0218 LL0169,4,1084900,0,21-Jul-20,5,1951
17 016100010073,4,621000,714000,21-Jul-20,2,1957
17 006000050089,4,1022700,0,21-Jul-20,3,2002
17 0032 LL5170,4,486200,560000,21-Jul-20,2,2013
17 000200130213,4,1575000,2152500,21-Jul-20,3,2010
14F0147 LL0497,4,164400,0,21-Jul-20,2,2008
14F0140 LL0098,4,191400,0,21-Jul-20,2,2008
14 020000020163,4,178300,0,21-Jul-20,3,1955
14 011900060250,4,76500,205002,21-Jul-20,1,1920
14 011900060250,4,76500,170000,21-Jul-20,1,1920
14 001300080511,4,548900,602500,21-Jul-20,2,2003
13 0067 LL2067,4,150600,185000,21-Jul-20,3,2004
12 295107800345,4,473400,565000,21-Jul-20,3,1987
12 186303940078,4,295800,0,21-Jul-20,2,1995
12 182403770259,4,352400,311000,21-Jul-20,2,1984
09F280001123911,4,179100,195000,21-Jul-20,2,2003
09F200200910918,4,212600,0,21-Jul-20,3,2019
09F220100991842,4,151900,207000,20-Jul-20,3,2002
22 373112830620,4,398500,400000,20-Jul-20,3,1994
22 354109250261,4,625700,0,20-Jul-20,3,1992
17 0229 LL3293,4,419400,445000,20-Jul-20,3,2010
17 0178 LL1264,4,863900,0,20-Jul-20,3,1954
17 012400010244,4,737600,1090000,20-Jul-20,3,2013
17 010100060345,4,1207100,1800000,20-Jul-20,3,2014
17 009300061269,4,636000,0,20-Jul-20,3,1958
17 001300030113,4,976600,836250,20-Jul-20,3,1964
14F0155 LL0710,4,272800,344990,20-Jul-20,3,2017
14F0104 LL1819,4,284300,350000,20-Jul-20,3,2005
14F0090 LL1187,4,232400,235000,20-Jul-20,2,2002
14 017700010114,4,36300,80000,20-Jul-20,2,1940
14 005800020638,4,158000,1,20-Jul-20,2,1930
14 001100050458,4,406000,858000,20-Jul-20,3,2019
12 288107930279,4,286800,270000,20-Jul-20,2,1983
12 255306660353,4,363400,305000,20-Jul-20,2,1983
12 198404290154,4,439000,0,20-Jul-20,2,1985
11 004000403575,4,739200,768000,20-Jul-20,4,2012
09F290001144007,4,227900,295900,20-Jul-20,2,2019
22 451001920320,4,626100,650000,19-Jul-20,4,2013
14 000800050750,4,165200,10,18-Jul-20,2,2005
06 035100030066,4,673500,1250000,17-Jul-20,3,1982
22 507007510579,4,703400,585000,17-Jul-20,4,2007
22 505006070652,4,717100,910900,17-Jul-20,4,2018
22 465011770392,4,455400,515000,17-Jul-20,2,1995
22 450112730180,4,322300,315000,17-Jul-20,3,1975
22 359112850049,4,417200,515000,17-Jul-20,2,1993
17 018400040198,4,743800,816000,17-Jul-20,3,1952
17 016200010049,4,1725100,0,17-Jul-20,4,2008
17 010200050261,4,603200,0,17-Jul-20,1,1925
17 009400030818,4,1070130,987500,17-Jul-20,4,2017
17 0073 LL3084,4,447600,0,17-Jul-20,4,2007
17 003600030322,4,543200,1300000,17-Jul-20,3,1964
17 003600030322,4,543200,0,17-Jul-20,3,1964
17 0014 LL1452,4,1071100,1190000,17-Jul-20,4,2005
17 000300080102,4,918600,915000,17-Jul-20,3,1927
14 011500050222,4,35000,0,17-Jul-20,2,1945
14 010500090790,4,285500,380000,17-Jul-20,2,1930
14 004300020891,4,575600,591000,17-Jul-20,4,2014
13 009200050403,4,113100,0,17-Jul-20,3,1971
12 266007122205,4,501900,0,17-Jul-20,3,2017
12 256106670030,4,343900,387000,17-Jul-20,2,1988
12 228105410379,4,219600,0,17-Jul-20,2,1978
12 228105410379,4,219600,260000,17-Jul-20,2,1978
12 210204900427,4,256400,215800,17-Jul-20,2,1969
12 174303590606,4,448800,485000,17-Jul-20,3,1986
12 135601141426,4,546200,0,17-Jul-20,4,1989
12 135601141426,4,546200,595000,17-Jul-20,4,1989
11 117104301238,4,351400,355000,17-Jul-20,2,1993
11 110103690511,4,452500,545000,17-Jul-20,3,1993
11 108003852397,4,555600,630000,17-Jul-20,3,2019
11 065202360137,4,323700,295000,17-Jul-20,2,1988
11 056402010366,4,332800,375000,17-Jul-20,2,1991
11 006500360437,4,491300,588000,17-Jul-20,3,1989
09F280001116915,4,139200,166000,17-Jul-20,2,2005
09F161500760298,4,96500,0,16-Jul-20,2,1966
22 387012401712,4,475000,515000,16-Jul-20,3,2005
22 359112850049,4,417200,0,16-Jul-20,2,1993
22 352312870248,4,454000,530000,16-Jul-20,3,1993
17 018000010211,4,1113400,850000,16-Jul-20,4,1954
14F0002 LL0624,4,219600,235000,16-Jul-20,2,2006
14 013200090318,4,27900,32000,16-Jul-20,2,1955
14 011500050222,4,35000,0,16-Jul-20,2,1945
14 010600140065,4,128100,260000,16-Jul-20,2,1920
13 0191 LL0235,4,185200,0,16-Jul-20,3,2006
12 214305150155,4,301600,292000,16-Jul-20,2,1986
11 103200410271,4,630600,0,16-Jul-20,3,1991
11 103200410271,4,630600,729000,16-Jul-20,3,1991
11 059102220483,4,364000,450000,16-Jul-20,2,1987
11 030001001472,4,620000,0,16-Jul-20,4,1997
11 005200100473,4,289800,289800,15-Jul-20,2,1993
21 575311640608,4,390600,520000,15-Jul-20,3,1996
21 561111190036,4,834300,860000,15-Jul-20,4,1995
17 0227 LL3170,4,252800,367500,15-Jul-20,3,2019
17 0141 LL1045,4,2406500,3450000,15-Jul-20,3,2006
17 010100160335,4,663900,0,15-Jul-20,2,1953
17 005400010057,4,743800,5100000,15-Jul-20,3,2019
17 005000030364,4,517900,555000,15-Jul-20,3,2015
17 001300020122,4,1263100,1390000,15-Jul-20,4,1959
17 000100011125,4,1150000,1400000,15-Jul-20,2,2007
14F0129 LL0622,4,310500,0,15-Jul-20,3,2001
14 009400070712,4,183000,102000,15-Jul-20,3,1960
14 005400090999,4,391400,550000,15-Jul-20,2,1961
14 002200020144,4,515500,590000,15-Jul-20,2,1928
14 002000100427,4,403900,10,15-Jul-20,1,1920
12 317009230817,4,562100,557500,15-Jul-20,4,2011
12 315409010482,4,397600,450000,15-Jul-20,2,1987
12 291107880072,4,374800,366000,15-Jul-20,2,1980
12 255306660106,4,402700,379900,15-Jul-20,2,1981
12 236005931592,4,501900,0,15-Jul-20,3,2018
12 167103210045,4,523500,665000,15-Jul-20,3,1993
12 160302660565,4,380400,535000,15-Jul-20,3,1992
12 145001894995,4,313800,0,15-Jul-20,2,2012
11 025101220170,4,471300,0,15-Jul-20,3,1995
11 016100790552,4,350700,391000,15-Jul-20,2,1994
11 008300150281,4,376700,301500,15-Jul-20,2,1993
11 005200100473,4,289800,0,15-Jul-20,2,1993
12 160002670633,5,565100,570000,3-Aug-20,4,2012
14 015100030302,5,142300,415000,3-Aug-20,1,1930
12 152002030496,5,458700,625000,31-Jul-20,4,2015
13 0156 LL3638,5,221700,200000,30-Jul-20,4,2008
13 0126 LL1670,5,178900,1,29-Jul-20,3,2008
17 013700040139,5,1296000,0,29-Jul-20,5,2005
12 168103060273,5,528600,640000,28-Jul-20,2,1970
22 494109790575,5,1079500,0,28-Jul-20,5,2005
17 012600080237,5,631400,0,28-Jul-20,4,1989
14F0075 LL0717,5,351600,0,28-Jul-20,4,2006
13 0133 LL2315,5,136900,146500,28-Jul-20,2,2006
21 576112590133,5,606500,684000,27-Jul-20,4,1993
11 063000160171,5,631900,789900,24-Jul-20,4,2019
22 496111100149,5,407400,0,24-Jul-20,3,1995
22 463010330706,5,920700,0,24-Jul-20,4,2003
22 358011631492,5,429200,540000,24-Jul-20,4,1999
17 0202 LL0779,5,1713400,1750000,24-Jul-20,5,1984
17 006500080271,5,1488000,1615000,24-Jul-20,5,2014
17 006000070749,5,716000,881000,24-Jul-20,4,1938
17 006000070749,5,716000,0,24-Jul-20,4,1938
14F0002 LL1143,5,241100,285000,24-Jul-20,2,2007
14 0148 LL0120,5,470500,483000,24-Jul-20,5,1948
13 0193 LL3955,5,232600,247000,24-Jul-20,3,2016
12 300008621004,5,700000,823000,24-Jul-20,4,1999
17 000800070124,5,1178600,850000,23-Jul-20,3,1954
22 540007581605,5,522700,10,23-Jul-20,3,1998
22 383009930441,5,1115300,1150000,23-Jul-20,5,2005
22 336010030304,5,978300,1020000,23-Jul-20,5,2018
17 009300022162,5,720000,800000,23-Jul-20,4,2008
11 057502401505,5,318200,10,22-Jul-20,2,1993
22 448011290942,5,1096300,789000,22-Jul-20,5,2017
11 074000250391,5,1107800,1265000,22-Jul-20,5,2000
11 028200950515,5,555300,0,21-Jul-20,4,1993
14F0002 LL6118,5,320800,321000,21-Jul-20,4,2007
14 014100050212,5,169200,392900,21-Jul-20,3,1951
12 177003521359,5,696000,770000,21-Jul-20,4,2004
11 081103030372,5,484400,547000,21-Jul-20,4,1993
11 028200950515,5,555300,581000,21-Jul-20,4,1993
11 110003890526,5,477200,430000,20-Jul-20,4,1997
22 420002360729,5,773800,845000,20-Jul-20,4,2017
22 358011631005,5,438900,607500,20-Jul-20,4,1998
17 014500010868,5,1171000,1450000,20-Jul-20,4,1995
17 006500010963,5,862000,780000,20-Jul-20,4,2011
17 000200090425,5,1202600,2600000,20-Jul-20,4,2015
14 019600031026,5,177900,0,20-Jul-20,3,1997
14 019600031026,5,177900,279000,20-Jul-20,3,1997
12 277007640716,5,933600,715000,20-Jul-20,4,2019
12 266007121777,5,555000,547000,20-Jul-20,4,2016
11 122104750061,5,829400,1150000,20-Jul-20,4,1992
11 010400270092,5,1085300,1334000,17-Jul-20,5,1995
21 564010530708,5,451600,600000,17-Jul-20,4,1998
17 021500010061,5,688200,415000,17-Jul-20,3,1965
17 018000040119,5,1373600,1475000,17-Jul-20,3,1965
17 017100020245,5,641300,580000,17-Jul-20,2,1971
17 016400040028,5,1347200,1311000,17-Jul-20,5,1989
17 0135 LL0466,5,2122800,0,17-Jul-20,5,2013
17 0092 LL0582,5,1126900,0,17-Jul-20,4,2000
17 006300020287,5,985200,1615000,17-Jul-20,5,2014
14 014900060684,5,265500,320000,17-Jul-20,2,1930
12 303008671953,5,565400,538000,17-Jul-20,4,2003
12 207004701161,5,617900,615000,17-Jul-20,4,1999
12 172102970607,5,479800,607500,17-Jul-20,3,1993
12 164303130115,5,662400,755000,17-Jul-20,5,1990
11 108003951819,5,783900,805000,17-Jul-20,4,2017
11 060002080472,5,879400,910000,17-Jul-20,6,2011
12 141001190146,5,840000,899000,16-Jul-20,4,1974
22 537006841675,5,575000,680000,16-Jul-20,4,2000
21 562011840464,5,1105900,1450000,16-Jul-20,5,1999
14F0072 LL0736,5,250000,268500,16-Jul-20,3,2006
11 134005130566,5,375000,0,15-Jul-20,4,1999
22 423104540727,5,695900,797000,15-Jul-20,4,2000
22 407004850518,5,760000,765000,15-Jul-20,5,2000
21 569211230271,5,534400,585000,15-Jul-20,4,1994
21 562011700254,5,836300,820000,15-Jul-20,4,1998
17 0256 LL1012,5,406500,1,15-Jul-20,3,2008
17 012000020197,5,1056700,1835000,15-Jul-20,5,1959
17 0117 LL1078,5,2126600,2662500,15-Jul-20,6,2016
12 158202630076,5,506900,510000,15-Jul-20,3,1997
11 029200991525,5,591300,685000,14-Jul-20,4,1993
17 013900050078,5,4792000,8000000,14-Jul-20,6,2015
17 009500031641,5,775600,1277303,14-Jul-20,4,2019
17 0095 LL0027,5,1723000,0,14-Jul-20,4,2007
12 172003311240,5,543600,668000,14-Jul-20,3,2006
12 189304100692,5,997700,850000,13-Jul-20,4,2013
22 503004740202,5,413500,420000,13-Jul-20,3,1965
22 401012072504,5,690600,784000,13-Jul-20,4,2014
22 342009300609,5,304300,823023,13-Jul-20,5,2019
17 015300050053,5,980400,1295000,13-Jul-20,3,1940
17 013800010107,5,1751900,0,13-Jul-20,5,2018
17 013800010107,5,1751900,1705000,13-Jul-20,5,2018
14F0075 LL0964,5,384100,429000,13-Jul-20,4,2018
12 300008471020,5,604000,750000,13-Jul-20,4,1999
11 071402470197,5,434200,565000,10-Jul-20,3,1987
22 346112890075,5,481000,576751,10-Jul-20,3,1975
21 562011710592,5,936200,1230000,10-Jul-20,5,1998
17 015600020012,5,2168300,0,10-Jul-20,5,2008
